year,month,state,fips,dead
2000,04,Ohio,39,8540
2000,04,Oklahoma,40,2717
2000,04,Oregon,41,2376
2000,04,Pennsylvania,42,10343
2000,04,Rhode Island,44,745
2000,04,South Carolina,45,2820
2000,04,South Dakota,46,538
2000,04,Tennessee,47,4466
2000,04,Texas,48,11924
2000,04,Utah,49,1014
2000,04,Vermont,50,416
2000,04,Virginia,51,4422
2000,04,Washington,53,3526
2000,04,West Virginia,54,1666
2000,04,Wisconsin,55,3712
2000,04,Wyoming,56,307
2000,05,Alabama,01,3629
2000,05,Alaska,02,227
2000,05,Arizona,04,3280
2000,05,Arkansas,05,2169
2000,05,California,06,18495
2000,05,Colorado,08,2289
2000,05,Connecticut,09,2418
2000,05,Delaware,10,542
2000,05,District of Columbia,11,509
2000,05,Florida,12,13504
2000,05,Georgia,13,5133
2000,05,Hawaii,15,704
2000,05,Idaho,16,770
2000,05,Illinois,17,8670
2000,05,Indiana,18,4469
2000,05,Iowa,19,2036
2000,05,Kansas,20,1951
2000,05,Kentucky,21,3163
2000,05,Louisiana,22,3305
2000,05,Maine,23,1056
2000,05,Maryland,24,3378
2000,05,Massachusetts,25,4576
2000,05,Michigan,26,7003
2000,05,Minnesota,27,2962
2000,05,Mississippi,28,2316
2000,05,Missouri,29,4168
2000,05,Montana,30,685
2000,05,Nebraska,31,1133
2000,05,Nevada,32,1311
2000,05,New Hampshire,33,773
2000,05,New Jersey,34,6111
2000,05,New Mexico,35,1111
2000,05,New York,36,12918
2000,05,North Carolina,37,5750
2000,05,North Dakota,38,482
2000,05,Ohio,39,8572
2000,05,Oklahoma,40,2833
2000,05,Oregon,41,2431
2000,05,Pennsylvania,42,10460
2000,05,Rhode Island,44,808
2000,05,South Carolina,45,2965
2000,05,South Dakota,46,554
2000,05,Tennessee,47,4364
2000,05,Texas,48,11897
2000,05,Utah,49,1060
2000,05,Vermont,50,397
2000,05,Virginia,51,4535
2000,05,Washington,53,3594
2000,05,West Virginia,54,1639
2000,05,Wisconsin,55,3658
2000,05,Wyoming,56,348
2000,06,Alabama,01,3480
2000,06,Alaska,02,253
2000,06,Arizona,04,3017
2000,06,Arkansas,05,2136
2000,06,California,06,17727
2000,06,Colorado,08,2162
2000,06,Connecticut,09,2211
2000,06,Delaware,10,548
2000,06,District of Columbia,11,458
2000,06,Florida,12,12714
2000,06,Georgia,13,4963
2000,06,Hawaii,15,683
2000,06,Idaho,16,783
2000,06,Illinois,17,8021
2000,06,Indiana,18,4175
2000,06,Iowa,19,2088
2000,06,Kansas,20,1791
2000,06,Kentucky,21,3025
2000,06,Louisiana,22,3119
2000,06,Maine,23,974
2000,06,Maryland,24,3429
2000,06,Massachusetts,25,4235
2000,06,Michigan,26,6615
2000,06,Minnesota,27,2715
2000,06,Mississippi,28,2149
2000,06,Missouri,29,4047
2000,06,Montana,30,584
2000,06,Nebraska,31,1084
2000,06,Nevada,32,1195
2000,06,New Hampshire,33,775
2000,06,New Jersey,34,5800
2000,06,New Mexico,35,1006
2000,06,New York,36,12057
2000,06,North Carolina,37,5363
2000,06,North Dakota,38,464
2000,06,Ohio,39,8216
2000,06,Oklahoma,40,2618
2000,06,Oregon,41,2281
2000,06,Pennsylvania,42,9888
2000,06,Rhode Island,44,746
2000,06,South Carolina,45,2766
2000,06,South Dakota,46,508
2000,06,Tennessee,47,4208
2000,06,Texas,48,11697
2000,06,Utah,49,929
2000,06,Vermont,50,374
2000,06,Virginia,51,4245
2000,06,Washington,53,3440
2000,06,West Virginia,54,1609
2000,06,Wisconsin,55,3445
2000,06,Wyoming,56,306
