date,age,covid,all
2022-02,35-44,783,9148
2022-03,35-44,194,9105
2022-04,35-44,79,8535
2022-05,35-44,95,9076
2022-06,35-44,120,8992
2022-07,35-44,148,9436
2022-08,35-44,130,9196
2022-09,35-44,97,8904
2022-10,35-44,70,8887
2022-11,35-44,86,9030
2022-12,35-44,105,9704
2023-01,35-44,95,9323
2023-02,35-44,69,8159
2023-03,35-44,50,8998
2023-04,35-44,42,8720
2023-05,35-44,15,9010
2023-06,35-44,14,8783
2023-07,35-44,20,9193
2023-08,35-44,35,8984
2023-09,35-44,49,8525
2023-10,35-44,26,8441
2023-11,35-44,42,8310
2023-12,35-44,61,8833
2024-01,35-44,60,8937
2024-02,35-44,47,8024
2024-03,35-44,28,8065
2024-04,35-44,18,7798
2024-05,35-44,13,7714
2024-06,35-44,,4621
2018-01,45-54,,15688
2018-02,45-54,,13313
2018-03,45-54,,14312
2018-04,45-54,,13400
2018-05,45-54,,13618
2018-06,45-54,,13291
2018-07,45-54,,13824
2018-08,45-54,,13595
2018-09,45-54,,13115
2018-10,45-54,,13469
2018-11,45-54,,13104
2018-12,45-54,,14108
2019-01,45-54,,14340
2019-02,45-54,,12927
2019-03,45-54,,13997
2019-04,45-54,,13099
2019-05,45-54,,13524
2019-06,45-54,,12973
2019-07,45-54,,13611
2019-08,45-54,,12968
2019-09,45-54,,12628
2019-10,45-54,,13151
2019-11,45-54,,13250
2019-12,45-54,,13925
2020-01,45-54,,14341
2020-02,45-54,,13329
2020-03,45-54,496,14600
2020-04,45-54,3043,17310
2020-05,45-54,1591,16495
2020-06,45-54,1040,15651
2020-07,45-54,1852,17133
2020-08,45-54,1585,16601
2020-09,45-54,877,15066
2020-10,45-54,940,15377
2020-11,45-54,1813,16030
2020-12,45-54,3724,19209
2021-01,45-54,4450,20057
2021-02,45-54,2296,16148
2021-03,45-54,1407,16366
2021-04,45-54,1480,15949
2021-05,45-54,1227,16046
2021-06,45-54,749,15131
2021-07,45-54,1161,16157
2021-08,45-54,5836,21285
2021-09,45-54,7441,22557
2021-10,45-54,4396,19638
2021-11,45-54,2738,17251
2021-12,45-54,3700,19452
2022-01,45-54,4946,20853
2022-02,45-54,2175,15984
2022-03,45-54,560,15075
2022-04,45-54,179,13890
