month_of_death,age_at_death,last_dose_number,days_between_last_vaccination_and_death,count
2022-05,41_to_60,3,<=_365,5
2022-05,41_to_60,3,<=_90,54
2022-05,41_to_60,4,<=_180,<5
2022-05,41_to_60,4,<=_30,<5
2022-05,41_to_60,4,<=_90,8
2022-05,61_to_80,0,NA,86
2022-05,61_to_80,1,<=_180,<5
2022-05,61_to_80,2,366_+,<5
2022-05,61_to_80,2,<=_180,45
2022-05,61_to_80,2,<=_365,115
2022-05,61_to_80,2,<=_90,7
2022-05,61_to_80,3,<=_180,773
2022-05,61_to_80,3,<=_30,<5
2022-05,61_to_80,3,<=_365,12
2022-05,61_to_80,3,<=_90,137
2022-05,61_to_80,4,<=_180,<5
2022-05,61_to_80,4,<=_30,5
2022-05,61_to_80,4,<=_90,47
2022-05,81_to_100,0,NA,79
2022-05,81_to_100,1,366_+,<5
2022-05,81_to_100,1,<=_180,5
2022-05,81_to_100,1,<=_365,<5
2022-05,81_to_100,1,<=_90,<5
2022-05,81_to_100,2,<=_180,57
2022-05,81_to_100,2,<=_365,105
2022-05,81_to_100,2,<=_90,21
2022-05,81_to_100,3,<=_180,1200
2022-05,81_to_100,3,<=_30,15
2022-05,81_to_100,3,<=_365,8
2022-05,81_to_100,3,<=_90,167
2022-05,81_to_100,4,<=_180,<5
2022-05,81_to_100,4,<=_30,<5
2022-05,81_to_100,4,<=_90,7
2022-06,0_to_20,0,NA,57
2022-06,0_to_20,1,<=_180,<5
2022-06,0_to_20,2,366_+,<5
2022-06,0_to_20,2,<=_180,<5
2022-06,0_to_20,2,<=_365,7
2022-06,0_to_20,3,<=_180,6
2022-06,0_to_20,3,<=_90,<5
