reposter,reposted,count,reposter_likely_hybrid_or_not_bot
9qPyyAsKBSsXS7r,T5v7T8YXkD15gL3,2,F
9qPyyAsKBSsXS7r,taisetsuzannigo,1,F
9qPyyAsKBSsXS7r,Tanakaseiji14,2,F
9qPyyAsKBSsXS7r,tbsnewsdig,1,F
9qPyyAsKBSsXS7r,thackerpd,2,F
9qPyyAsKBSsXS7r,ThebestFigen,1,F
9qPyyAsKBSsXS7r,TheDoctorRegen,4,F
9qPyyAsKBSsXS7r,TheFigen_,2,F
9qPyyAsKBSsXS7r,TheFlatEartherr,24,F
9qPyyAsKBSsXS7r,TheInsiderPaper,11,F
9qPyyAsKBSsXS7r,Thekeksociety,4,F
9qPyyAsKBSsXS7r,TheProjectUnity,5,F
9qPyyAsKBSsXS7r,tokyoaa909,2,F
9qPyyAsKBSsXS7r,TONYxTWO,2,F
9qPyyAsKBSsXS7r,toshie_fujisan,1,F
