date,state,dead
2019-04,Rhode Island,839
2019-04,South Carolina,4032
2019-04,South Dakota,716
2019-04,Tennessee,6073
2019-04,Texas,16505
2019-04,Utah,1525
2019-04,Vermont,549
2019-04,Virginia,5795
2019-04,Washington,4817
2019-04,West Virginia,1984
2019-04,Wisconsin,4479
2019-04,Wyoming,386
2019-05,Alabama,4575
2019-05,Alaska,397
2019-05,Arizona,5105
2019-05,Arkansas,2692
2019-05,California,22352
2019-05,Colorado,3316
2019-05,Connecticut,2529
2019-05,Delaware,758
2019-05,District of Columbia,378
2019-05,Florida,17592
2019-05,Georgia,7101
2019-05,Hawaii,995
2019-05,Idaho,1253
2019-05,Illinois,9150
2019-05,Indiana,5561
2019-05,Iowa,2463
2019-05,Kansas,2288
2019-05,Kentucky,4003
2019-05,Louisiana,3745
2019-05,Maine,1212
2019-05,Maryland,4131
2019-05,Massachusetts,4701
2019-05,Michigan,8265
2019-05,Minnesota,3853
2019-05,Mississippi,2847
2019-05,Missouri,5239
2019-05,Montana,829
2019-05,Nebraska,1411
2019-05,Nevada,2074
2019-05,New Hampshire,1019
2019-05,New Jersey,6103
2019-05,New Mexico,1599
2019-05,New York,12877
2019-05,North Carolina,8037
2019-05,North Dakota,604
2019-05,Ohio,10036
2019-05,Oklahoma,3322
2019-05,Oregon,3149
2019-05,Pennsylvania,10941
2019-05,Rhode Island,845
2019-05,South Carolina,4359
2019-05,South Dakota,694
2019-05,Tennessee,6053
2019-05,Texas,16530
2019-05,Utah,1627
2019-05,Vermont,470
2019-05,Virginia,5917
2019-05,Washington,4913
2019-05,West Virginia,1976
2019-05,Wisconsin,4540
2019-05,Wyoming,467
2019-06,Alabama,4305
2019-06,Alaska,373
2019-06,Arizona,4689
2019-06,Arkansas,2515
2019-06,California,21434
2019-06,Colorado,3111
2019-06,Connecticut,2486
2019-06,Delaware,724
2019-06,District of Columbia,356
2019-06,Florida,16715
2019-06,Georgia,6741
2019-06,Hawaii,953
2019-06,Idaho,1178
2019-06,Illinois,8523
2019-06,Indiana,5175
2019-06,Iowa,2416
2019-06,Kansas,2204
2019-06,Kentucky,3901
2019-06,Louisiana,3701
2019-06,Maine,1163
2019-06,Maryland,3955
2019-06,Massachusetts,4519
2019-06,Michigan,7784
2019-06,Minnesota,3479
2019-06,Mississippi,2629
2019-06,Missouri,4986
