age,cause,state,date,dead
all,C00-C97,Delaware,2024-07,233
all,C00-C97,Delaware,2024-08,230
all,C00-C97,Delaware,2024-09,190
all,C00-C97,Delaware,2024-10,229
all,C00-C97,Delaware,2024-11,161
all,C00-C97,District of Columbia,2018-01,92
all,C00-C97,District of Columbia,2018-02,100
all,C00-C97,District of Columbia,2018-03,112
all,C00-C97,District of Columbia,2018-04,99
all,C00-C97,District of Columbia,2018-05,100
all,C00-C97,District of Columbia,2018-06,98
all,C00-C97,District of Columbia,2018-07,98
all,C00-C97,District of Columbia,2018-08,97
all,C00-C97,District of Columbia,2018-09,83
all,C00-C97,District of Columbia,2018-10,134
all,C00-C97,District of Columbia,2018-11,104
all,C00-C97,District of Columbia,2018-12,83
all,C00-C97,District of Columbia,2019-01,89
all,C00-C97,District of Columbia,2019-02,109
all,C00-C97,District of Columbia,2019-03,88
all,C00-C97,District of Columbia,2019-04,97
all,C00-C97,District of Columbia,2019-05,88
all,C00-C97,District of Columbia,2019-06,78
all,C00-C97,District of Columbia,2019-07,103
all,C00-C97,District of Columbia,2019-08,99
all,C00-C97,District of Columbia,2019-09,107
all,C00-C97,District of Columbia,2019-10,97
all,C00-C97,District of Columbia,2019-11,97
all,C00-C97,District of Columbia,2019-12,108
